nome_produto,preco_produto,marca_produto,categoria_produto
Monitor Max,363.26,Apple,Eletronicos
Jaqueta Digital,168.78,Seiko,Acessorios
Teclado Plus,3874.51,Xiaomi,Eletronicos
Tablet Plus,332.97,Asus,Eletronicos
Relogio Regata,187.14,Columbia,Vestuario
Jaqueta Flip,299.44,Tommy Hilfiger,Acessorios
Tenis Regata,119.42,Nike,Vestuario
Sandalia Casual,339.44,Puma,Calcados
Teclado Lite,4930.76,Dell,Eletronicos
Fone Lite,1825.17,Samsung,Eletronicos
Monitor Pro,4185.46,Garmin,Eletronicos
Carteira Analogico,47.68,Ray-Ban,Acessorios
Mouse Max,1840.16,Xiaomi,Eletronicos
Fone Mini,3867.82,Samsung,Eletronicos
Relogio Termica,40.3,Hering,Vestuario
Tenis Casual,89.33,Nike,Calcados
Sandalia Tiracolo,249.55,Guess,Acessorios
Relogio Estampada,268.43,Columbia,Vestuario
Sapato Basica,157.65,Nike,Vestuario
Bolsa Snapback,73.42,New Era,Acessorios
Meias Slide,382.78,Havaianas,Calcados
Mochila Esportivo,115.52,Vans,Calcados
Fone Lite,2106.39,Garmin,Eletronicos
Bolsa Digital,166.8,Michael Kors,Acessorios
Sapato Esportivo,290.28,Vans,Calcados
Mouse Pro,1697.0,Xiaomi,Eletronicos
Fone Plus,561.08,Samsung,Eletronicos
Oculos Snapback,276.56,Guess,Acessorios
Mouse Plus,2347.72,Garmin,Eletronicos
Bone Estampada,40.77,Adidas,Vestuario
Oculos Tiracolo,64.16,Oakley,Acessorios
Sapato Dry Fit,184.44,Lacoste,Vestuario
Sandalia Casual,115.85,Timberland,Calcados
Sapato Esportivo,323.36,Nike,Calcados
Relogio Snapback,33.52,Ray-Ban,Acessorios
Sandalia Manga Longa,295.81,Columbia,Vestuario
Jaqueta Esportivo,127.89,Adidas,Calcados
Caixa Pro,944.82,Garmin,Eletronicos
Shorts Estampada,263.19,Levis,Vestuario
Oculos Casual,336.33,Havaianas,Calcados
Jaqueta Tiracolo,252.65,Ray-Ban,Acessorios
Mochila Slide,373.37,Havaianas,Calcados
Sapato Dry Fit,165.11,Lacoste,Vestuario
Bolsa Casual,141.66,Havaianas,Calcados
Monitor Pro,3048.83,Sony,Eletronicos
Oculos Regata,75.71,Nike,Vestuario
Sapato Termica,167.73,Hering,Vestuario
Jaqueta Termica,127.19,Levis,Vestuario
Tenis Termica,198.57,Adidas,Vestuario
Sandalia Running,386.84,Timberland,Calcados
Bone Regata,186.63,Under Armour,Vestuario
Teclado Pro,4421.56,Logitech,Eletronicos
Smartphone Max,637.68,Logitech,Eletronicos
Tenis Running,263.31,Puma,Calcados
Sandalia Slide,147.34,Timberland,Calcados
Monitor Lite,1779.41,Dell,Eletronicos
Jaqueta Social,121.6,Nike,Calcados
Meias Snapback,349.49,New Era,Acessorios
Mochila Digital,163.67,Oakley,Acessorios
Monitor Max,4590.61,HP,Eletronicos
Carteira Digital,64.94,Oakley,Acessorios
Calca Regata,172.01,Zara,Vestuario
Bone Regata,161.31,Levis,Vestuario
Relogio Social,397.32,Vans,Calcados
Oculos Casual,321.26,Adidas,Calcados
Shorts Snapback,103.51,Tommy Hilfiger,Acessorios
Notebook Max,2499.09,Lenovo,Eletronicos
Teclado Lite,2308.06,Samsung,Eletronicos
Mochila Analogico,311.49,Casio,Acessorios
Bone Social,51.43,Converse,Calcados
Oculos Snapback,294.27,Casio,Acessorios
Bone Digital,274.35,Casio,Acessorios
Mochila Estampada,298.22,Columbia,Vestuario
Shorts Flip,37.95,Tommy Hilfiger,Acessorios
Sandalia Dry Fit,44.36,Levis,Vestuario
Sandalia Basica,32.49,Lacoste,Vestuario
Bone Esportivo,316.24,Havaianas,Calcados
Calca Basica,246.69,Hering,Vestuario
Caixa Lite,4916.18,Asus,Eletronicos
Sandalia Dry Fit,201.97,Lululemon,Vestuario
Oculos Regata,62.84,Columbia,Vestuario
Camiseta Regata,218.83,Lululemon,Vestuario
Bolsa Basica,273.42,Under Armour,Vestuario
Teclado Plus,3184.02,Garmin,Eletronicos
Camiseta Basica,27.21,Under Armour,Vestuario
Relogio Digital,291.18,New Era,Acessorios
Bone Analogico,249.35,Tommy Hilfiger,Acessorios
Meias Dry Fit,56.09,Hering,Vestuario
Relogio Analogico,172.52,Seiko,Acessorios
Shorts Snapback,193.08,Oakley,Acessorios
Sapato Termica,108.52,Lululemon,Vestuario
Teclado Pro,1011.29,Asus,Eletronicos
Oculos Slide,365.34,Adidas,Calcados
Oculos Social,231.2,Adidas,Calcados
Mochila Basica,144.16,Lacoste,Vestuario
Mouse Plus,3093.0,Garmin,Eletronicos
Tenis Manga Longa,168.49,Zara,Vestuario
Shorts Tiracolo,146.24,New Era,Acessorios
Caixa Max,3404.94,Garmin,Eletronicos
Oculos Regata,83.71,Hering,Vestuario
